round,game_index,date,home_team,away_team,minute,team,teamId,isHome,eloTeam,player,playerId,position,rating,keeper,keeperRating,opponent,eloOpponent,x,y,distance,angle,goal_difference,situation,body_part,goal,xg
1,0,13/08/2022,AC Milan,Udinese,2,Udinese,2695,False,1440,Rodrigo Becão,880207,D,32,Mike Maignan,87,AC Milan,1760,2.8,42.1,6,62,0,corner,head,1,0.086003392934799
1,0,13/08/2022,AC Milan,Udinese,7,AC Milan,2692,True,1760,Brahim Díaz,835485,M,67,Marco Silvestri,79,Udinese,1440,10.1,71.1,17,54,-1,assisted,weakFoot,0,0.054140031337738
1,0,13/08/2022,AC Milan,Udinese,11,AC Milan,2692,True,1760,Theo Hernández,788027,D,71,Marco Silvestri,79,Udinese,1440,11.5,50.0,11,0,-1,penalty,strongFoot,1,0.7884
1,0,13/08/2022,AC Milan,Udinese,15,AC Milan,2692,True,1760,Ante Rebić,152769,M,79,Marco Silvestri,79,Udinese,1440,11.5,52.6,11,8,0,assisted,strongFoot,1,0.075055241584778
1,0,13/08/2022,AC Milan,Udinese,18,AC Milan,2692,True,1760,Rafael Leão,851284,F,76,Marco Silvestri,79,Udinese,1440,25.8,36.6,27,19,1,assisted,weakFoot,0,0.033549427986145
1,0,13/08/2022,AC Milan,Udinese,20,Udinese,2695,False,1440,Isaac Success,359640,F,70,Mike Maignan,87,AC Milan,1760,6.8,67.8,13,60,-1,throw-in-set-piece,strongFoot,0,0.030646502971649
1,0,13/08/2022,AC Milan,Udinese,28,Udinese,2695,False,1440,Gerard Deulofeu,96372,F,78,Mike Maignan,87,AC Milan,1760,13.7,66.0,17,38,-1,fast-break,strongFoot,0,0.14080560207367
1,0,13/08/2022,AC Milan,Udinese,30,AC Milan,2692,True,1760,Ismaël Bennacer,823733,M,67,Marco Silvestri,79,Udinese,1440,23.2,74.1,28,35,1,free-kick,strongFoot,0,0.03269499540329
1,0,13/08/2022,AC Milan,Udinese,45,Udinese,2695,False,1440,Adam Masina,259995,D,40,Mike Maignan,87,AC Milan,1760,11.4,44.2,12,19,-1,assisted,head,1,0.034981906414032
1,0,13/08/2022,AC Milan,Udinese,46,AC Milan,2692,True,1760,Brahim Díaz,835485,M,67,Marco Silvestri,79,Udinese,1440,1.2,52.3,1,52,0,regular,weakFoot,1,0.76490354537964
1,0,13/08/2022,AC Milan,Udinese,52,Udinese,2695,False,1440,Isaac Success,359640,F,70,Mike Maignan,87,AC Milan,1760,25.8,25.3,30,33,-1,assisted,strongFoot,0,0.032063066959381
1,0,13/08/2022,AC Milan,Udinese,57,AC Milan,2692,True,1760,Ante Rebić,152769,M,79,Marco Silvestri,79,Udinese,1440,13.2,26.9,20,49,1,corner,weakFoot,0,0.047674000263214
1,0,13/08/2022,AC Milan,Udinese,63,AC Milan,2692,True,1760,Theo Hernández,788027,D,71,Marco Silvestri,79,Udinese,1440,27.4,48.6,27,1,1,free-kick,strongFoot,0,0.049782335758209
1,0,13/08/2022,AC Milan,Udinese,68,AC Milan,2692,True,1760,Ante Rebić,152769,M,79,Marco Silvestri,79,Udinese,1440,7.9,50.9,7,4,1,assisted,weakFoot,1,0.25868251919746
1,0,13/08/2022,AC Milan,Udinese,75,AC Milan,2692,True,1760,Rafael Leão,851284,F,76,Marco Silvestri,79,Udinese,1440,14.6,61.2,16,27,2,assisted,weakFoot,0,0.034824401140213
1,0,13/08/2022,AC Milan,Udinese,78,AC Milan,2692,True,1760,Alexis Saelemaekers,901891,M,66,Marco Silvestri,79,Udinese,1440,20.1,65.2,22,27,2,regular,strongFoot,0,0.026029884815216
1,0,13/08/2022,AC Milan,Udinese,79,AC Milan,2692,True,1760,Alexis Saelemaekers,901891,M,66,Marco Silvestri,79,Udinese,1440,22.7,60.1,23,16,2,corner,weakFoot,0,0.0064771473407745
1,0,13/08/2022,AC Milan,Udinese,81,AC Milan,2692,True,1760,Olivier Giroud,39070,F,82,Marco Silvestri,79,Udinese,1440,15.0,54.7,15,12,2,fast-break,strongFoot,0,0.085336416959763
1,0,13/08/2022,AC Milan,Udinese,86,AC Milan,2692,True,1760,Alexis Saelemaekers,901891,M,66,Marco Silvestri,79,Udinese,1440,8.8,67.6,14,53,2,assisted,strongFoot,0,0.068314701318741
1,0,13/08/2022,AC Milan,Udinese,88,Udinese,2695,False,1440,Lazar Samardžić,980624,M,63,Mike Maignan,87,AC Milan,1760,22.9,47.8,22,3,-2,assisted,strongFoot,0,0.036083072423935
1,0,13/08/2022,AC Milan,Udinese,89,Udinese,2695,False,1440,Brandon Soppy,963211,D,47,Mike Maignan,87,AC Milan,1760,19.0,10.4,32,54,-2,assisted,strongFoot,0,0.023448407649994
1,0,13/08/2022,AC Milan,Udinese,90,Udinese,2695,False,1440,Sandi Lovrić,575852,M,62,Mike Maignan,87,AC Milan,1760,23.3,48.0,23,3,-2,assisted,strongFoot,0,0.052203088998795
1,0,13/08/2022,AC Milan,Udinese,90,Udinese,2695,False,1440,Brandon Soppy,963211,D,47,Mike Maignan,87,AC Milan,1760,4.8,42.0,7,48,-2,assisted,head,0,0.051219761371613
