,round,homeTeam,awayTeam,homeScore,awayScore,matchId,url
0,1,FC Bayern München,RB Leipzig,6,0,14056037,https://www.sofascore.com/api/v1/event/14056037/shotmap
1,1,1. FC Heidenheim,VfL Wolfsburg,1,3,14062011,https://www.sofascore.com/api/v1/event/14062011/shotmap
2,1,1. FC Union Berlin,VfB Stuttgart,2,1,14062006,https://www.sofascore.com/api/v1/event/14062006/shotmap
3,1,Bayer 04 Leverkusen,TSG Hoffenheim,1,2,14062009,https://www.sofascore.com/api/v1/event/14062009/shotmap
4,1,Eintracht Frankfurt,SV Werder Bremen,4,1,14057744,https://www.sofascore.com/api/v1/event/14057744/shotmap
5,1,SC Freiburg,FC Augsburg,1,3,14062012,https://www.sofascore.com/api/v1/event/14062012/shotmap
6,1,FC St. Pauli,Borussia Dortmund,3,3,14062008,https://www.sofascore.com/api/v1/event/14062008/shotmap
7,1,1. FSV Mainz 05,1. FC Köln,0,1,14062010,https://www.sofascore.com/api/v1/event/14062010/shotmap
8,1,Borussia M'gladbach,Hamburger SV,0,0,14062007,https://www.sofascore.com/api/v1/event/14062007/shotmap
0,2,Hamburger SV,FC St. Pauli,0,2,14065074,https://www.sofascore.com/api/v1/event/14065074/shotmap
1,2,RB Leipzig,1. FC Heidenheim,2,0,14065064,https://www.sofascore.com/api/v1/event/14065064/shotmap
2,2,SV Werder Bremen,Bayer 04 Leverkusen,3,3,14065063,https://www.sofascore.com/api/v1/event/14065063/shotmap
3,2,TSG Hoffenheim,Eintracht Frankfurt,1,3,14065071,https://www.sofascore.com/api/v1/event/14065071/shotmap
4,2,VfB Stuttgart,Borussia M'gladbach,1,0,14065065,https://www.sofascore.com/api/v1/event/14065065/shotmap
5,2,FC Augsburg,FC Bayern München,2,3,14065075,https://www.sofascore.com/api/v1/event/14065075/shotmap
6,2,VfL Wolfsburg,1. FSV Mainz 05,1,1,14065067,https://www.sofascore.com/api/v1/event/14065067/shotmap
7,2,Borussia Dortmund,1. FC Union Berlin,3,0,14065066,https://www.sofascore.com/api/v1/event/14065066/shotmap
8,2,1. FC Köln,SC Freiburg,4,1,14065073,https://www.sofascore.com/api/v1/event/14065073/shotmap
0,3,Bayer 04 Leverkusen,Eintracht Frankfurt,3,1,14065076,https://www.sofascore.com/api/v1/event/14065076/shotmap
1,3,1. FC Heidenheim,Borussia Dortmund,0,2,14065082,https://www.sofascore.com/api/v1/event/14065082/shotmap
2,3,1. FC Union Berlin,TSG Hoffenheim,2,4,14065081,https://www.sofascore.com/api/v1/event/14065081/shotmap
3,3,1. FSV Mainz 05,RB Leipzig,0,1,14065078,https://www.sofascore.com/api/v1/event/14065078/shotmap
4,3,SC Freiburg,VfB Stuttgart,3,1,14065079,https://www.sofascore.com/api/v1/event/14065079/shotmap
5,3,VfL Wolfsburg,1. FC Köln,3,3,14065077,https://www.sofascore.com/api/v1/event/14065077/shotmap
6,3,FC Bayern München,Hamburger SV,5,0,14057801,https://www.sofascore.com/api/v1/event/14057801/shotmap
7,3,FC St. Pauli,FC Augsburg,2,1,14065083,https://www.sofascore.com/api/v1/event/14065083/shotmap
8,3,Borussia M'gladbach,SV Werder Bremen,0,4,14065080,https://www.sofascore.com/api/v1/event/14065080/shotmap
0,4,VfB Stuttgart,FC St. Pauli,2,0,14065089,https://www.sofascore.com/api/v1/event/14065089/shotmap
1,4,FC Augsburg,1. FSV Mainz 05,1,4,14065093,https://www.sofascore.com/api/v1/event/14065093/shotmap
2,4,Hamburger SV,1. FC Heidenheim,2,1,14065090,https://www.sofascore.com/api/v1/event/14065090/shotmap
3,4,SV Werder Bremen,SC Freiburg,0,3,14065086,https://www.sofascore.com/api/v1/event/14065086/shotmap
4,4,TSG Hoffenheim,FC Bayern München,1,4,14065096,https://www.sofascore.com/api/v1/event/14065096/shotmap
5,4,RB Leipzig,1. FC Köln,3,1,14065091,https://www.sofascore.com/api/v1/event/14065091/shotmap
6,4,Eintracht Frankfurt,1. FC Union Berlin,3,4,14065087,https://www.sofascore.com/api/v1/event/14065087/shotmap
7,4,Bayer 04 Leverkusen,Borussia M'gladbach,1,1,14065084,https://www.sofascore.com/api/v1/event/14065084/shotmap
8,4,Borussia Dortmund,VfL Wolfsburg,1,0,14065085,https://www.sofascore.com/api/v1/event/14065085/shotmap
0,5,FC Bayern München,SV Werder Bremen,4,0,14065088,https://www.sofascore.com/api/v1/event/14065088/shotmap
1,5,1. FC Heidenheim,FC Augsburg,2,1,14065102,https://www.sofascore.com/api/v1/event/14065102/shotmap
2,5,1. FSV Mainz 05,Borussia Dortmund,0,2,14065094,https://www.sofascore.com/api/v1/event/14065094/shotmap
3,5,FC St. Pauli,Bayer 04 Leverkusen,1,2,14065095,https://www.sofascore.com/api/v1/event/14065095/shotmap
4,5,VfL Wolfsburg,RB Leipzig,0,1,14065103,https://www.sofascore.com/api/v1/event/14065103/shotmap
5,5,Borussia M'gladbach,Eintracht Frankfurt,4,6,14065092,https://www.sofascore.com/api/v1/event/14065092/shotmap
6,5,SC Freiburg,TSG Hoffenheim,1,1,14065097,https://www.sofascore.com/api/v1/event/14065097/shotmap
7,5,1. FC Köln,VfB Stuttgart,1,2,14065099,https://www.sofascore.com/api/v1/event/14065099/shotmap
8,5,1. FC Union Berlin,Hamburger SV,0,0,14065101,https://www.sofascore.com/api/v1/event/14065101/shotmap
0,6,TSG Hoffenheim,1. FC Köln,0,1,14065113,https://www.sofascore.com/api/v1/event/14065113/shotmap
1,6,Bayer 04 Leverkusen,1. FC Union Berlin,2,0,14065104,https://www.sofascore.com/api/v1/event/14065104/shotmap
2,6,Borussia Dortmund,RB Leipzig,1,1,14065098,https://www.sofascore.com/api/v1/event/14065098/shotmap
3,6,FC Augsburg,VfL Wolfsburg,3,1,14065107,https://www.sofascore.com/api/v1/event/14065107/shotmap
4,6,SV Werder Bremen,FC St. Pauli,1,0,14065106,https://www.sofascore.com/api/v1/event/14065106/shotmap
5,6,Eintracht Frankfurt,FC Bayern München,0,3,14065100,https://www.sofascore.com/api/v1/event/14065100/shotmap
6,6,VfB Stuttgart,1. FC Heidenheim,1,0,14065105,https://www.sofascore.com/api/v1/event/14065105/shotmap
7,6,Hamburger SV,1. FSV Mainz 05,4,0,14065108,https://www.sofascore.com/api/v1/event/14065108/shotmap
8,6,Borussia M'gladbach,SC Freiburg,0,0,14065110,https://www.sofascore.com/api/v1/event/14065110/shotmap
0,7,1. FC Union Berlin,Borussia M'gladbach,3,1,14065117,https://www.sofascore.com/api/v1/event/14065117/shotmap
1,7,1. FC Heidenheim,SV Werder Bremen,2,2,14065118,https://www.sofascore.com/api/v1/event/14065118/shotmap
2,7,1. FC Köln,FC Augsburg,1,1,14065119,https://www.sofascore.com/api/v1/event/14065119/shotmap
3,7,1. FSV Mainz 05,Bayer 04 Leverkusen,3,4,14065112,https://www.sofascore.com/api/v1/event/14065112/shotmap
4,7,RB Leipzig,Hamburger SV,2,1,14065114,https://www.sofascore.com/api/v1/event/14065114/shotmap
5,7,VfL Wolfsburg,VfB Stuttgart,0,3,14065115,https://www.sofascore.com/api/v1/event/14065115/shotmap
6,7,FC Bayern München,Borussia Dortmund,2,1,14065109,https://www.sofascore.com/api/v1/event/14065109/shotmap
7,7,SC Freiburg,Eintracht Frankfurt,2,2,14065111,https://www.sofascore.com/api/v1/event/14065111/shotmap
8,7,FC St. Pauli,TSG Hoffenheim,0,3,14065116,https://www.sofascore.com/api/v1/event/14065116/shotmap
0,8,SV Werder Bremen,1. FC Union Berlin,1,0,14065124,https://www.sofascore.com/api/v1/event/14065124/shotmap
1,8,Eintracht Frankfurt,FC St. Pauli,2,0,14065120,https://www.sofascore.com/api/v1/event/14065120/shotmap
2,8,FC Augsburg,RB Leipzig,0,6,14065127,https://www.sofascore.com/api/v1/event/14065127/shotmap
3,8,Hamburger SV,VfL Wolfsburg,0,1,14065129,https://www.sofascore.com/api/v1/event/14065129/shotmap
4,8,TSG Hoffenheim,1. FC Heidenheim,3,1,14065126,https://www.sofascore.com/api/v1/event/14065126/shotmap
5,8,Borussia M'gladbach,FC Bayern München,0,3,14065125,https://www.sofascore.com/api/v1/event/14065125/shotmap
6,8,Borussia Dortmund,1. FC Köln,1,0,14065122,https://www.sofascore.com/api/v1/event/14065122/shotmap
7,8,Bayer 04 Leverkusen,SC Freiburg,2,0,14065121,https://www.sofascore.com/api/v1/event/14065121/shotmap
8,8,VfB Stuttgart,1. FSV Mainz 05,2,1,14065123,https://www.sofascore.com/api/v1/event/14065123/shotmap
0,9,FC Augsburg,Borussia Dortmund,0,1,14065133,https://www.sofascore.com/api/v1/event/14065133/shotmap
1,9,1. FC Heidenheim,Eintracht Frankfurt,1,1,14065136,https://www.sofascore.com/api/v1/event/14065136/shotmap
2,9,1. FC Union Berlin,SC Freiburg,0,0,14065134,https://www.sofascore.com/api/v1/event/14065134/shotmap
3,9,1. FSV Mainz 05,SV Werder Bremen,1,1,14065130,https://www.sofascore.com/api/v1/event/14065130/shotmap
4,9,FC St. Pauli,Borussia M'gladbach,0,4,14065135,https://www.sofascore.com/api/v1/event/14065135/shotmap
5,9,RB Leipzig,VfB Stuttgart,3,1,14065132,https://www.sofascore.com/api/v1/event/14065132/shotmap
6,9,FC Bayern München,Bayer 04 Leverkusen,3,0,14065128,https://www.sofascore.com/api/v1/event/14065128/shotmap
7,9,1. FC Köln,Hamburger SV,4,1,14065139,https://www.sofascore.com/api/v1/event/14065139/shotmap
8,9,VfL Wolfsburg,TSG Hoffenheim,2,3,14065131,https://www.sofascore.com/api/v1/event/14065131/shotmap
0,10,SV Werder Bremen,VfL Wolfsburg,2,1,14065138,https://www.sofascore.com/api/v1/event/14065138/shotmap
1,10,1. FC Union Berlin,FC Bayern München,2,2,14065143,https://www.sofascore.com/api/v1/event/14065143/shotmap
2,10,Bayer 04 Leverkusen,1. FC Heidenheim,6,0,14065137,https://www.sofascore.com/api/v1/event/14065137/shotmap
3,10,Hamburger SV,Borussia Dortmund,1,1,14065146,https://www.sofascore.com/api/v1/event/14065146/shotmap
4,10,TSG Hoffenheim,RB Leipzig,3,1,14065145,https://www.sofascore.com/api/v1/event/14065145/shotmap
5,10,Borussia M'gladbach,1. FC Köln,3,1,14065144,https://www.sofascore.com/api/v1/event/14065144/shotmap
6,10,SC Freiburg,FC St. Pauli,2,1,14065142,https://www.sofascore.com/api/v1/event/14065142/shotmap
7,10,VfB Stuttgart,FC Augsburg,3,2,14065141,https://www.sofascore.com/api/v1/event/14065141/shotmap
8,10,Eintracht Frankfurt,1. FSV Mainz 05,1,0,14065140,https://www.sofascore.com/api/v1/event/14065140/shotmap
0,11,1. FSV Mainz 05,TSG Hoffenheim,1,1,14065149,https://www.sofascore.com/api/v1/event/14065149/shotmap
1,11,1. FC Heidenheim,Borussia M'gladbach,0,3,14065153,https://www.sofascore.com/api/v1/event/14065153/shotmap
2,11,Borussia Dortmund,VfB Stuttgart,3,3,14065147,https://www.sofascore.com/api/v1/event/14065147/shotmap
3,11,FC Augsburg,Hamburger SV,1,0,14065152,https://www.sofascore.com/api/v1/event/14065152/shotmap
4,11,FC Bayern München,SC Freiburg,6,2,14065148,https://www.sofascore.com/api/v1/event/14065148/shotmap
5,11,VfL Wolfsburg,Bayer 04 Leverkusen,1,3,14065150,https://www.sofascore.com/api/v1/event/14065150/shotmap
6,11,1. FC Köln,Eintracht Frankfurt,3,4,14065155,https://www.sofascore.com/api/v1/event/14065155/shotmap
7,11,RB Leipzig,SV Werder Bremen,2,0,14065151,https://www.sofascore.com/api/v1/event/14065151/shotmap
8,11,FC St. Pauli,1. FC Union Berlin,0,1,14065154,https://www.sofascore.com/api/v1/event/14065154/shotmap
0,12,Borussia M'gladbach,RB Leipzig,0,0,14065166,https://www.sofascore.com/api/v1/event/14065166/shotmap
1,12,1. FC Union Berlin,1. FC Heidenheim,1,2,14065164,https://www.sofascore.com/api/v1/event/14065164/shotmap
2,12,FC Bayern München,FC St. Pauli,3,1,14065156,https://www.sofascore.com/api/v1/event/14065156/shotmap
3,12,SV Werder Bremen,1. FC Köln,1,1,14065159,https://www.sofascore.com/api/v1/event/14065159/shotmap
4,12,TSG Hoffenheim,FC Augsburg,3,0,14065163,https://www.sofascore.com/api/v1/event/14065163/shotmap
5,12,Bayer 04 Leverkusen,Borussia Dortmund,1,2,14065158,https://www.sofascore.com/api/v1/event/14065158/shotmap
6,12,Hamburger SV,VfB Stuttgart,2,1,14065162,https://www.sofascore.com/api/v1/event/14065162/shotmap
7,12,Eintracht Frankfurt,VfL Wolfsburg,1,1,14065157,https://www.sofascore.com/api/v1/event/14065157/shotmap
8,12,SC Freiburg,1. FSV Mainz 05,4,0,14065160,https://www.sofascore.com/api/v1/event/14065160/shotmap
0,13,1. FSV Mainz 05,Borussia M'gladbach,0,1,14065165,https://www.sofascore.com/api/v1/event/14065165/shotmap
1,13,1. FC Heidenheim,SC Freiburg,2,1,14065173,https://www.sofascore.com/api/v1/event/14065173/shotmap
2,13,1. FC Köln,FC St. Pauli,1,1,14065171,https://www.sofascore.com/api/v1/event/14065171/shotmap
3,13,FC Augsburg,Bayer 04 Leverkusen,2,0,14065169,https://www.sofascore.com/api/v1/event/14065169/shotmap
4,13,VfB Stuttgart,FC Bayern München,0,5,14065168,https://www.sofascore.com/api/v1/event/14065168/shotmap
5,13,VfL Wolfsburg,1. FC Union Berlin,3,1,14065170,https://www.sofascore.com/api/v1/event/14065170/shotmap
6,13,RB Leipzig,Eintracht Frankfurt,6,0,14065167,https://www.sofascore.com/api/v1/event/14065167/shotmap
7,13,Hamburger SV,SV Werder Bremen,3,2,14065172,https://www.sofascore.com/api/v1/event/14065172/shotmap
8,13,Borussia Dortmund,TSG Hoffenheim,2,0,14065161,https://www.sofascore.com/api/v1/event/14065161/shotmap
0,14,1. FC Union Berlin,RB Leipzig,3,1,14062138,https://www.sofascore.com/api/v1/event/14062138/shotmap
1,14,Borussia M'gladbach,VfL Wolfsburg,1,3,14062146,https://www.sofascore.com/api/v1/event/14062146/shotmap
2,14,Eintracht Frankfurt,FC Augsburg,1,0,14065176,https://www.sofascore.com/api/v1/event/14065176/shotmap
3,14,FC St. Pauli,1. FC Heidenheim,2,1,14062155,https://www.sofascore.com/api/v1/event/14062155/shotmap
4,14,TSG Hoffenheim,Hamburger SV,4,1,14062139,https://www.sofascore.com/api/v1/event/14062139/shotmap
5,14,Bayer 04 Leverkusen,1. FC Köln,2,0,14065175,https://www.sofascore.com/api/v1/event/14065175/shotmap
6,14,SC Freiburg,Borussia Dortmund,1,1,14065177,https://www.sofascore.com/api/v1/event/14065177/shotmap
7,14,FC Bayern München,1. FSV Mainz 05,2,2,14065174,https://www.sofascore.com/api/v1/event/14065174/shotmap
8,14,SV Werder Bremen,VfB Stuttgart,0,4,14062137,https://www.sofascore.com/api/v1/event/14062137/shotmap
0,15,Borussia Dortmund,Borussia M'gladbach,2,0,14062163,https://www.sofascore.com/api/v1/event/14062163/shotmap
1,15,1. FC Köln,1. FC Union Berlin,0,1,14062142,https://www.sofascore.com/api/v1/event/14062142/shotmap
2,15,FC Augsburg,SV Werder Bremen,0,0,14062151,https://www.sofascore.com/api/v1/event/14062151/shotmap
3,15,Hamburger SV,Eintracht Frankfurt,1,1,14062140,https://www.sofascore.com/api/v1/event/14062140/shotmap
4,15,VfB Stuttgart,TSG Hoffenheim,0,0,14062160,https://www.sofascore.com/api/v1/event/14062160/shotmap
5,15,VfL Wolfsburg,SC Freiburg,3,4,14062162,https://www.sofascore.com/api/v1/event/14062162/shotmap
6,15,RB Leipzig,Bayer 04 Leverkusen,1,3,14062143,https://www.sofascore.com/api/v1/event/14062143/shotmap
7,15,1. FSV Mainz 05,FC St. Pauli,0,0,14062159,https://www.sofascore.com/api/v1/event/14062159/shotmap
8,15,1. FC Heidenheim,FC Bayern München,0,4,14062150,https://www.sofascore.com/api/v1/event/14062150/shotmap
0,16,Eintracht Frankfurt,Borussia Dortmund,3,3,14062141,https://www.sofascore.com/api/v1/event/14062141/shotmap
1,16,1. FC Heidenheim,1. FC Köln,2,2,14062157,https://www.sofascore.com/api/v1/event/14062157/shotmap
2,16,1. FC Union Berlin,1. FSV Mainz 05,2,2,14062152,https://www.sofascore.com/api/v1/event/14062152/shotmap
3,16,SC Freiburg,Hamburger SV,2,1,14062148,https://www.sofascore.com/api/v1/event/14062148/shotmap
4,16,Bayer 04 Leverkusen,VfB Stuttgart,1,4,14062147,https://www.sofascore.com/api/v1/event/14062147/shotmap
5,16,Borussia M'gladbach,FC Augsburg,4,0,14062158,https://www.sofascore.com/api/v1/event/14062158/shotmap
6,16,FC Bayern München,VfL Wolfsburg,8,1,14062145,https://www.sofascore.com/api/v1/event/14062145/shotmap
7,16,FC St. Pauli,RB Leipzig,1,1,15362429,https://www.sofascore.com/api/v1/event/15362429/shotmap
8,16,SV Werder Bremen,TSG Hoffenheim,0,2,15362425,https://www.sofascore.com/api/v1/event/15362425/shotmap
0,17,VfB Stuttgart,Eintracht Frankfurt,3,2,14062161,https://www.sofascore.com/api/v1/event/14062161/shotmap
1,17,1. FSV Mainz 05,1. FC Heidenheim,2,1,14062156,https://www.sofascore.com/api/v1/event/14062156/shotmap
2,17,Borussia Dortmund,SV Werder Bremen,3,0,14062154,https://www.sofascore.com/api/v1/event/14062154/shotmap
3,17,VfL Wolfsburg,FC St. Pauli,2,1,14062164,https://www.sofascore.com/api/v1/event/14062164/shotmap
4,17,1. FC Köln,FC Bayern München,1,3,14062167,https://www.sofascore.com/api/v1/event/14062167/shotmap
5,17,RB Leipzig,SC Freiburg,2,0,14062149,https://www.sofascore.com/api/v1/event/14062149/shotmap
6,17,TSG Hoffenheim,Borussia M'gladbach,5,1,14062166,https://www.sofascore.com/api/v1/event/14062166/shotmap
7,17,FC Augsburg,1. FC Union Berlin,1,1,14062165,https://www.sofascore.com/api/v1/event/14062165/shotmap
8,17,Hamburger SV,Bayer 04 Leverkusen,0,1,15380505,https://www.sofascore.com/api/v1/event/15380505/shotmap
0,18,SV Werder Bremen,Eintracht Frankfurt,3,3,14062174,https://www.sofascore.com/api/v1/event/14062174/shotmap
1,18,1. FC Köln,1. FSV Mainz 05,2,1,14062176,https://www.sofascore.com/api/v1/event/14062176/shotmap
2,18,Borussia Dortmund,FC St. Pauli,3,2,14062168,https://www.sofascore.com/api/v1/event/14062168/shotmap
3,18,Hamburger SV,Borussia M'gladbach,0,0,14062177,https://www.sofascore.com/api/v1/event/14062177/shotmap
4,18,TSG Hoffenheim,Bayer 04 Leverkusen,1,0,14062175,https://www.sofascore.com/api/v1/event/14062175/shotmap
5,18,VfL Wolfsburg,1. FC Heidenheim,1,1,14062173,https://www.sofascore.com/api/v1/event/14062173/shotmap
6,18,RB Leipzig,FC Bayern München,1,5,14062170,https://www.sofascore.com/api/v1/event/14062170/shotmap
7,18,VfB Stuttgart,1. FC Union Berlin,1,1,14062171,https://www.sofascore.com/api/v1/event/14062171/shotmap
8,18,FC Augsburg,SC Freiburg,2,2,14062172,https://www.sofascore.com/api/v1/event/14062172/shotmap
0,19,FC St. Pauli,Hamburger SV,0,0,14062185,https://www.sofascore.com/api/v1/event/14062185/shotmap
1,19,1. FC Heidenheim,RB Leipzig,0,3,14062186,https://www.sofascore.com/api/v1/event/14062186/shotmap
2,19,1. FSV Mainz 05,VfL Wolfsburg,3,1,14062182,https://www.sofascore.com/api/v1/event/14062182/shotmap
3,19,Bayer 04 Leverkusen,SV Werder Bremen,1,0,14062178,https://www.sofascore.com/api/v1/event/14062178/shotmap
4,19,Eintracht Frankfurt,TSG Hoffenheim,1,3,14062180,https://www.sofascore.com/api/v1/event/14062180/shotmap
5,19,FC Bayern München,FC Augsburg,1,2,14062179,https://www.sofascore.com/api/v1/event/14062179/shotmap
6,19,1. FC Union Berlin,Borussia Dortmund,0,3,14062184,https://www.sofascore.com/api/v1/event/14062184/shotmap
7,19,Borussia M'gladbach,VfB Stuttgart,0,3,14062183,https://www.sofascore.com/api/v1/event/14062183/shotmap
8,19,SC Freiburg,1. FC Köln,2,1,14062181,https://www.sofascore.com/api/v1/event/14062181/shotmap
0,20,1. FC Köln,VfL Wolfsburg,1,0,14062196,https://www.sofascore.com/api/v1/event/14062196/shotmap
1,20,Eintracht Frankfurt,Bayer 04 Leverkusen,1,3,14062190,https://www.sofascore.com/api/v1/event/14062190/shotmap
2,20,FC Augsburg,FC St. Pauli,2,1,14062195,https://www.sofascore.com/api/v1/event/14062195/shotmap
3,20,RB Leipzig,1. FSV Mainz 05,1,2,14062189,https://www.sofascore.com/api/v1/event/14062189/shotmap
4,20,SV Werder Bremen,Borussia M'gladbach,1,1,14062194,https://www.sofascore.com/api/v1/event/14062194/shotmap
5,20,TSG Hoffenheim,1. FC Union Berlin,3,1,14062197,https://www.sofascore.com/api/v1/event/14062197/shotmap
6,20,Hamburger SV,FC Bayern München,2,2,14062191,https://www.sofascore.com/api/v1/event/14062191/shotmap
7,20,VfB Stuttgart,SC Freiburg,1,0,14062192,https://www.sofascore.com/api/v1/event/14062192/shotmap
8,20,Borussia Dortmund,1. FC Heidenheim,3,2,14062187,https://www.sofascore.com/api/v1/event/14062187/shotmap
0,21,1. FC Union Berlin,Eintracht Frankfurt,1,1,14062202,https://www.sofascore.com/api/v1/event/14062202/shotmap
1,21,1. FC Heidenheim,Hamburger SV,0,2,14062203,https://www.sofascore.com/api/v1/event/14062203/shotmap
2,21,1. FSV Mainz 05,FC Augsburg,2,0,14062198,https://www.sofascore.com/api/v1/event/14062198/shotmap
3,21,FC St. Pauli,VfB Stuttgart,2,1,14062201,https://www.sofascore.com/api/v1/event/14062201/shotmap
4,21,SC Freiburg,SV Werder Bremen,1,0,14062193,https://www.sofascore.com/api/v1/event/14062193/shotmap
5,21,VfL Wolfsburg,Borussia Dortmund,1,2,14062200,https://www.sofascore.com/api/v1/event/14062200/shotmap
6,21,Borussia M'gladbach,Bayer 04 Leverkusen,1,1,14062199,https://www.sofascore.com/api/v1/event/14062199/shotmap
7,21,1. FC Köln,RB Leipzig,1,2,14062205,https://www.sofascore.com/api/v1/event/14062205/shotmap
8,21,FC Bayern München,TSG Hoffenheim,5,1,14062188,https://www.sofascore.com/api/v1/event/14062188/shotmap
0,22,Borussia Dortmund,1. FSV Mainz 05,4,0,14062212,https://www.sofascore.com/api/v1/event/14062212/shotmap
1,22,Bayer 04 Leverkusen,FC St. Pauli,4,0,14062206,https://www.sofascore.com/api/v1/event/14062206/shotmap
2,22,Eintracht Frankfurt,Borussia M'gladbach,3,0,14062208,https://www.sofascore.com/api/v1/event/14062208/shotmap
3,22,Hamburger SV,1. FC Union Berlin,3,2,14062213,https://www.sofascore.com/api/v1/event/14062213/shotmap
4,22,SV Werder Bremen,FC Bayern München,0,3,14062207,https://www.sofascore.com/api/v1/event/14062207/shotmap
5,22,TSG Hoffenheim,SC Freiburg,3,0,14062214,https://www.sofascore.com/api/v1/event/14062214/shotmap
6,22,VfB Stuttgart,1. FC Köln,3,1,14062209,https://www.sofascore.com/api/v1/event/14062209/shotmap
7,22,FC Augsburg,1. FC Heidenheim,1,0,14062211,https://www.sofascore.com/api/v1/event/14062211/shotmap
8,22,RB Leipzig,VfL Wolfsburg,2,2,14062210,https://www.sofascore.com/api/v1/event/14062210/shotmap
0,23,1. FSV Mainz 05,Hamburger SV,1,1,14062216,https://www.sofascore.com/api/v1/event/14062216/shotmap
1,23,1. FC Köln,TSG Hoffenheim,2,2,14062223,https://www.sofascore.com/api/v1/event/14062223/shotmap
2,23,1. FC Union Berlin,Bayer 04 Leverkusen,1,0,14062219,https://www.sofascore.com/api/v1/event/14062219/shotmap
3,23,FC Bayern München,Eintracht Frankfurt,3,2,14062215,https://www.sofascore.com/api/v1/event/14062215/shotmap
4,23,VfL Wolfsburg,FC Augsburg,2,3,14062220,https://www.sofascore.com/api/v1/event/14062220/shotmap
5,23,RB Leipzig,Borussia Dortmund,2,2,14062218,https://www.sofascore.com/api/v1/event/14062218/shotmap
6,23,SC Freiburg,Borussia M'gladbach,2,1,14062217,https://www.sofascore.com/api/v1/event/14062217/shotmap
7,23,FC St. Pauli,SV Werder Bremen,2,1,14062221,https://www.sofascore.com/api/v1/event/14062221/shotmap
8,23,1. FC Heidenheim,VfB Stuttgart,3,3,14062222,https://www.sofascore.com/api/v1/event/14062222/shotmap
0,24,FC Augsburg,1. FC Köln,2,0,14062232,https://www.sofascore.com/api/v1/event/14062232/shotmap
1,24,Bayer 04 Leverkusen,1. FSV Mainz 05,1,1,14062227,https://www.sofascore.com/api/v1/event/14062227/shotmap
2,24,Borussia M'gladbach,1. FC Union Berlin,1,0,14062226,https://www.sofascore.com/api/v1/event/14062226/shotmap
3,24,SV Werder Bremen,1. FC Heidenheim,2,0,14062230,https://www.sofascore.com/api/v1/event/14062230/shotmap
4,24,TSG Hoffenheim,FC St. Pauli,0,1,14062231,https://www.sofascore.com/api/v1/event/14062231/shotmap
5,24,Borussia Dortmund,FC Bayern München,2,3,14062225,https://www.sofascore.com/api/v1/event/14062225/shotmap
6,24,VfB Stuttgart,VfL Wolfsburg,4,0,14062234,https://www.sofascore.com/api/v1/event/14062234/shotmap
7,24,Eintracht Frankfurt,SC Freiburg,2,0,14062224,https://www.sofascore.com/api/v1/event/14062224/shotmap
8,24,Hamburger SV,RB Leipzig,1,2,14062229,https://www.sofascore.com/api/v1/event/14062229/shotmap
0,25,FC Bayern München,Borussia M'gladbach,4,1,14062228,https://www.sofascore.com/api/v1/event/14062228/shotmap
