,round,homeTeam,awayTeam,homeScore,awayScore,matchId,url
0,1,Stade Rennais,Olympique de Marseille,1,0,14061188,https://www.sofascore.com/api/v1/event/14061188/shotmap
1,1,RC Lens,Olympique Lyonnais,0,1,14061760,https://www.sofascore.com/api/v1/event/14061760/shotmap
2,1,AS Monaco,Le Havre,3,1,14061187,https://www.sofascore.com/api/v1/event/14061187/shotmap
3,1,Nice,Toulouse,0,1,14061183,https://www.sofascore.com/api/v1/event/14061183/shotmap
4,1,Stade Brestois,Lille,3,3,14061179,https://www.sofascore.com/api/v1/event/14061179/shotmap
5,1,Angers,Paris FC,1,0,14061180,https://www.sofascore.com/api/v1/event/14061180/shotmap
6,1,Auxerre,Lorient,1,0,14061182,https://www.sofascore.com/api/v1/event/14061182/shotmap
7,1,Metz,RC Strasbourg,0,1,14061192,https://www.sofascore.com/api/v1/event/14061192/shotmap
8,1,Nantes,Paris Saint-Germain,0,1,14061185,https://www.sofascore.com/api/v1/event/14061185/shotmap
0,2,Paris Saint-Germain,Angers,1,0,14065702,https://www.sofascore.com/api/v1/event/14065702/shotmap
1,2,Olympique de Marseille,Paris FC,5,2,14065703,https://www.sofascore.com/api/v1/event/14065703/shotmap
2,2,Nice,Auxerre,3,1,14065698,https://www.sofascore.com/api/v1/event/14065698/shotmap
3,2,Olympique Lyonnais,Metz,3,0,14065707,https://www.sofascore.com/api/v1/event/14065707/shotmap
4,2,Lorient,Stade Rennais,4,0,14065700,https://www.sofascore.com/api/v1/event/14065700/shotmap
5,2,Le Havre,RC Lens,1,2,14065699,https://www.sofascore.com/api/v1/event/14065699/shotmap
6,2,RC Strasbourg,Nantes,1,0,14065710,https://www.sofascore.com/api/v1/event/14065710/shotmap
7,2,Toulouse,Stade Brestois,2,0,14065701,https://www.sofascore.com/api/v1/event/14065701/shotmap
8,2,Lille,AS Monaco,1,0,14065697,https://www.sofascore.com/api/v1/event/14065697/shotmap
0,3,RC Lens,Stade Brestois,3,1,14065713,https://www.sofascore.com/api/v1/event/14065713/shotmap
1,3,Lorient,Lille,1,7,14065716,https://www.sofascore.com/api/v1/event/14065716/shotmap
2,3,Nantes,Auxerre,1,0,14065717,https://www.sofascore.com/api/v1/event/14065717/shotmap
3,3,Toulouse,Paris Saint-Germain,3,6,14065705,https://www.sofascore.com/api/v1/event/14065705/shotmap
4,3,Angers,Stade Rennais,1,1,14065714,https://www.sofascore.com/api/v1/event/14065714/shotmap
5,3,AS Monaco,RC Strasbourg,3,2,14065706,https://www.sofascore.com/api/v1/event/14065706/shotmap
6,3,Le Havre,Nice,3,1,14065712,https://www.sofascore.com/api/v1/event/14065712/shotmap
7,3,Paris FC,Metz,3,2,14065708,https://www.sofascore.com/api/v1/event/14065708/shotmap
8,3,Olympique Lyonnais,Olympique de Marseille,1,0,14065715,https://www.sofascore.com/api/v1/event/14065715/shotmap
0,4,Olympique de Marseille,Lorient,4,0,14065718,https://www.sofascore.com/api/v1/event/14065718/shotmap
1,4,Nice,Nantes,1,0,14065721,https://www.sofascore.com/api/v1/event/14065721/shotmap
2,4,Auxerre,AS Monaco,1,2,14065719,https://www.sofascore.com/api/v1/event/14065719/shotmap
3,4,Lille,Toulouse,2,1,14065728,https://www.sofascore.com/api/v1/event/14065728/shotmap
4,4,Metz,Angers,1,1,14065723,https://www.sofascore.com/api/v1/event/14065723/shotmap
5,4,Paris Saint-Germain,RC Lens,2,0,14065720,https://www.sofascore.com/api/v1/event/14065720/shotmap
6,4,RC Strasbourg,Le Havre,1,0,14065724,https://www.sofascore.com/api/v1/event/14065724/shotmap
7,4,Stade Brestois,Paris FC,1,2,14065722,https://www.sofascore.com/api/v1/event/14065722/shotmap
8,4,Stade Rennais,Olympique Lyonnais,3,1,14065727,https://www.sofascore.com/api/v1/event/14065727/shotmap
0,5,Olympique Lyonnais,Angers,1,0,14065737,https://www.sofascore.com/api/v1/event/14065737/shotmap
1,5,Nantes,Stade Rennais,2,2,14065726,https://www.sofascore.com/api/v1/event/14065726/shotmap
2,5,Stade Brestois,Nice,4,1,14065730,https://www.sofascore.com/api/v1/event/14065730/shotmap
3,5,RC Lens,Lille,3,0,14065725,https://www.sofascore.com/api/v1/event/14065725/shotmap
4,5,Paris FC,RC Strasbourg,2,3,14065729,https://www.sofascore.com/api/v1/event/14065729/shotmap
5,5,AS Monaco,Metz,5,2,14065733,https://www.sofascore.com/api/v1/event/14065733/shotmap
6,5,Auxerre,Toulouse,1,0,14065731,https://www.sofascore.com/api/v1/event/14065731/shotmap
7,5,Le Havre,Lorient,1,1,14065732,https://www.sofascore.com/api/v1/event/14065732/shotmap
8,5,Olympique de Marseille,Paris Saint-Germain,1,0,14065734,https://www.sofascore.com/api/v1/event/14065734/shotmap
0,6,RC Strasbourg,Olympique de Marseille,1,2,14065740,https://www.sofascore.com/api/v1/event/14065740/shotmap
1,6,Lorient,AS Monaco,3,1,14167868,https://www.sofascore.com/api/v1/event/14167868/shotmap
2,6,Toulouse,Nantes,2,2,14065736,https://www.sofascore.com/api/v1/event/14065736/shotmap
3,6,Paris Saint-Germain,Auxerre,2,0,14167872,https://www.sofascore.com/api/v1/event/14167872/shotmap
4,6,Nice,Paris FC,1,1,14065741,https://www.sofascore.com/api/v1/event/14065741/shotmap
5,6,Angers,Stade Brestois,0,2,14065738,https://www.sofascore.com/api/v1/event/14065738/shotmap
6,6,Lille,Olympique Lyonnais,0,1,14167870,https://www.sofascore.com/api/v1/event/14167870/shotmap
7,6,Metz,Le Havre,0,0,14065735,https://www.sofascore.com/api/v1/event/14065735/shotmap
8,6,Stade Rennais,RC Lens,0,0,14065739,https://www.sofascore.com/api/v1/event/14065739/shotmap
0,7,Paris FC,Lorient,2,0,14661320,https://www.sofascore.com/api/v1/event/14661320/shotmap
1,7,Metz,Olympique de Marseille,0,3,14167876,https://www.sofascore.com/api/v1/event/14167876/shotmap
2,7,Stade Brestois,Nantes,0,0,14167886,https://www.sofascore.com/api/v1/event/14167886/shotmap
3,7,Auxerre,RC Lens,1,2,14167888,https://www.sofascore.com/api/v1/event/14167888/shotmap
4,7,Olympique Lyonnais,Toulouse,1,2,14167878,https://www.sofascore.com/api/v1/event/14167878/shotmap
5,7,AS Monaco,Nice,2,2,14167874,https://www.sofascore.com/api/v1/event/14167874/shotmap
6,7,Le Havre,Stade Rennais,2,2,14167880,https://www.sofascore.com/api/v1/event/14167880/shotmap
7,7,RC Strasbourg,Angers,5,0,14167884,https://www.sofascore.com/api/v1/event/14167884/shotmap
8,7,Lille,Paris Saint-Germain,1,1,14167890,https://www.sofascore.com/api/v1/event/14167890/shotmap
0,8,Paris Saint-Germain,RC Strasbourg,3,3,14167897,https://www.sofascore.com/api/v1/event/14167897/shotmap
1,8,Nice,Olympique Lyonnais,3,2,14167895,https://www.sofascore.com/api/v1/event/14167895/shotmap
2,8,Angers,AS Monaco,1,1,14167905,https://www.sofascore.com/api/v1/event/14167905/shotmap
