season,round,game_index,date,home_team,away_team,home_score,away_score
26,1,0,23/08/2025,Genoa,Lecce,0,0
26,1,1,23/08/2025,Sassuolo,SSC Napoli,0,2
26,1,2,23/08/2025,AC Milan,Cremonese,1,2
26,1,3,23/08/2025,AS Roma,Bologna,1,0
26,1,4,24/08/2025,Cagliari,Fiorentina,1,1
26,1,5,24/08/2025,Como,Lazio,2,0
26,1,6,24/08/2025,Atalanta,Pisa,1,1
26,1,7,24/08/2025,Juventus,Parma,2,0
26,1,8,25/08/2025,Udinese,Hellas Verona,1,1
26,1,9,25/08/2025,Inter,Torino,5,0
26,2,0,29/08/2025,Cremonese,Sassuolo,3,2
26,2,1,29/08/2025,Lecce,AC Milan,0,2
26,2,2,30/08/2025,Bologna,Como,1,0
26,2,3,30/08/2025,Parma,Atalanta,1,1
26,2,4,30/08/2025,Pisa,AS Roma,0,1
26,2,5,30/08/2025,SSC Napoli,Cagliari,1,0
26,2,6,31/08/2025,Genoa,Juventus,0,1
26,2,7,31/08/2025,Torino,Fiorentina,0,0
26,2,8,31/08/2025,Inter,Udinese,1,2
26,2,9,31/08/2025,Lazio,Hellas Verona,4,0
26,3,0,13/09/2025,Cagliari,Parma,2,0
26,3,1,13/09/2025,Juventus,Inter,4,3
26,3,2,13/09/2025,Fiorentina,SSC Napoli,1,3
26,3,3,14/09/2025,AS Roma,Torino,0,1
26,3,4,14/09/2025,Atalanta,Lecce,4,1
26,3,5,14/09/2025,Pisa,Udinese,0,1
26,3,6,14/09/2025,Sassuolo,Lazio,1,0
26,3,7,14/09/2025,AC Milan,Bologna,1,0
26,3,8,15/09/2025,Hellas Verona,Cremonese,0,0
26,3,9,15/09/2025,Como,Genoa,1,1
26,4,0,19/09/2025,Lecce,Cagliari,1,2
26,4,1,20/09/2025,Bologna,Genoa,2,1
26,4,2,20/09/2025,Hellas Verona,Juventus,1,1
26,4,3,20/09/2025,Udinese,AC Milan,0,3
26,4,4,21/09/2025,Lazio,AS Roma,0,1
26,4,5,21/09/2025,Cremonese,Parma,0,0
26,4,6,21/09/2025,Torino,Atalanta,0,3
26,4,7,21/09/2025,Fiorentina,Como,1,2
26,4,8,21/09/2025,Inter,Sassuolo,2,1
26,4,9,22/09/2025,SSC Napoli,Pisa,3,2
26,5,0,27/09/2025,Como,Cremonese,1,1
26,5,1,27/09/2025,Juventus,Atalanta,1,1
26,5,2,27/09/2025,Cagliari,Inter,0,2
26,5,3,28/09/2025,Sassuolo,Udinese,3,1
26,5,4,28/09/2025,AS Roma,Hellas Verona,2,0
26,5,5,28/09/2025,Pisa,Fiorentina,0,0
26,5,6,28/09/2025,Lecce,Bologna,2,2
26,5,7,28/09/2025,AC Milan,SSC Napoli,2,1
26,5,8,29/09/2025,Parma,Torino,2,1
26,5,9,29/09/2025,Genoa,Lazio,0,3
26,6,0,03/10/2025,Hellas Verona,Sassuolo,0,1
26,6,1,04/10/2025,Lazio,Torino,3,3
26,6,2,04/10/2025,Parma,Lecce,0,1
26,6,3,04/10/2025,Inter,Cremonese,4,1
26,6,4,04/10/2025,Atalanta,Como,1,1
26,6,5,05/10/2025,Udinese,Cagliari,1,1
26,6,6,05/10/2025,Bologna,Pisa,4,0
