player,playerID
M'Bala Nzola,240452
Georgios Kyriakopoulos,253213
Gabriel Strefezza,235949
Renato Sanches,230767
Samuel Iling Junior,272379
Dan Ndoye,257980
Rafael Leão,241721
Zito Luvumbo,259011
Leandro Paredes,207439
Dodô,234112
Jesper Karlsson,231836
Ruslan Malinovskyi,231969
Frank Anguissa,227236
Uroš Račić,244253
João Ferreira,252577
Agustín Martegani,262083
Romelu Lukaku,192505
José Machín,230817
Emil Holm,246656
Victor Kristiansen,259762
Mattéo Guendouzi,236496
Juan Jesus,200752
Jesper Lindstrøm,245741
Walid Cheddira,268511
Jovane Cabral,244193
Mohamed Kaba,263469
Berkan Kutlu,259675
Jens Cajuste,244472
Emil Konradsen Ceide,245537
Samu Castillejo,210617
Pol Lirola,235875
Natan,277537
Aleksei Miranchuk,214092
Yann Bisseck,241736
Simy,219496
Thomas Kristensen,261573
Pedro Pereira,230824
Szymon Żurkowski,239732
Matteo Gabbia,240277
Alberto Cerri,213829
Santiago Pierotti,236758
Hamed Junior Traorè,240787
Tijjani Noslin,264257
Karol Świderski,224301
Angeliño,220651
Daniel Silva,270686
Vitinha,263829
Vitor Oliveira,236758
Juan Cabal,251870
Marcus Pedersen,243481
Rodrigo Becão,238621
Pablo Marí,206654
Mehdi Léris,240660
Abdelhamid Sabiri,237499
Fabio Depaoli,235834
Fabio Quagliarella,159261
Cyriel Dessers,222262
David Okereke,233732
Luca Zanimacchia,235935
Charles Pickel,233884
Giacomo Quagliata,255580
Cristian Buonaiuto,222153
Matteo Bianchetti,205363
Grīgorīs Kastanos,237335
Federico Bonazzoli,223137
Tonny Vilhena,203535
Antonio Candreva,173221
Dylan Bronn,235565
Federico Fazio,179847
Arkadiusz Reca,234760
Mehdi Bourabia,198220
Mattia Caldara,220477
Kevin Agudelo,243253
Domenico Berardi,210935
Grégoire Defrel,202851
Kristian Thorstvedt,242725
Kaan Ayhan,207790
Davide Frattesi,239807
Matheus Henrique,254487
Jeremy Toljan,214622
Filip Kostić,208574
Petko Hristov,239998
David Strelec,264692
Nikola Vlašić,241095
Giulio Maggiore,236368
Erik Botheim,239125
Destiny Udogie,259583
Pasquale Mazzocchi,239679
Beto,251892
Min-jae Kim,237086
Arthur Cabral,246186
Paolo Ghiglione,230912
Santiago Ascacíbar,232244
Luka Lochoshvili,258464
Emanuele Valeri,258714
Tomás Rincón,191053
Francesco Caputo,189053
Jaime Báez,231050
Emanuel Aiwu,243442
Gonzalo Escalante,219391
Leonardo Sernicola,233968
Johan Vásquez,244349
Andrea Pinamonti,235842
Simone Bastoni,225189
Emmanuel Gyasi,220491
Gian Marco Ferrari,224808
Rogério,241629
Miguel Veloso,178007
Boulaye Dia,246242
Filip Đuričić,193881
Omar Colley,226536
Valerio Verre,205531
Samuel Di Carmine,186614
Viktor Kovalenko,228698
Bartosz Bereszyński,199763
Manolo Gabbiadini,198683
Lassana Coulibaly,230107
Armand Laurienté,243593
Maxime López,224030
Agustín Álvarez,258846
Tommaso Augello,240100
Ronaldo Vieira,233943
Jakub Kiwior,265693
Krzysztof Piątek,223113
Domagoj Bradarić,252000
Diego Valencia,243386
Jeison Murillo,201377
Ethan Ampadu,235735
Luca D'Andrea,271482
Abdou Harroui,241937
Soualiho Meïté,205391
Mikael Ellertsson,264436
Daniel Ciofani,178475
Michele Castagnetti,235163
Janis Antiste,255839
Ruan,263785
Daniel Maldini,255611
Kelvin Amian,231235
Flavius Daniliuc,252017
Dimitris Nikolaou,237040
Albin Ekdal,181318
Felix Afena-Gyan,265187
Daniele Verde,225844
Norbert Gyömbér,220061
Emil Bohinen,234894
Ilija Nestorovski,199274
Bruno Amione,268679
Ignacio Pussetto,219536
Gonzalo Villar,244393
Alex Ferrari,219852
Frank Tsadjout,253071
Daniele Montevago,272511
Lorenzo Pirola,257368
Gerard Yepes,266069
Niklas Pyyhtiä,274089
Junior Sambia,223570
Sam Lammers,236498
Pedro Obiang,200054
Saša Lukić,236699
Kristijan Bistrović,242079
Bram Nuytinck,193091
Hans Nicolussi Caviglia,253162
Nadir Zortea,252440
Martin Erlić,244456
Jean-Victor Makengo,230686
Alessandro Zanoli,268656
Matteo Lovato,258946
Salvatore Esposito,252290
Vlad Chiricheş,205943
Nedim Bajrami,237640
Marco Benassi,211354
Raimonds Krollis,273653
Harry Winks,222400
Przemysław Wiśniewski,243185
Eldor Shomurodov,239964
Simone Pafundi,271575
Michaël Cuisance,239744
Domen Črnigoj,231137
Jesé Rodríguez,202515
Tio Cipot,273652
Pablo Galdames,219127
Diego Llorente,212602
Koray Günter,204451
Joel Voelkerling Persson,271494
Marios Oikonoumou,216523
William Troost-Ekong,213414
Francisco Conceição,261050
Sebastiano Esposito,247888
Liam Henderson,219952
Mattia Viti,264044
Ola Solbakken,242090
Álvaro Morata,201153
Ange-Yoan Bonny,259565
Artem Dovbyk,242458
Matías Soulé,265695
Dailon Rocha Livramento,73853
Daniel Mosquera,266585
Richie Sagrado,275087
Fisayo Dele-Bashiru,258890
Loum Tchaouna,264880
Samuel Mbangula,74566
Douglas Luiz,236499
Kialonda Gaspar,275783
Marco Brescianini,257785
Valentin Gendrey,245863
Antonín Barák,236791
Paulo Azzi,222388
Nico Paz,277846
Saul Coco,265650
Nicolás González,240690
Tete Morente,239671
Nuno Tavares,251530
Sergi Roberto,199564
Faustino Anjorin,248474
Enrico Del Prato,252442
Valentin Mihăilă,248060
Simon Sohm,244634
Dennis Man,239978
Nahuel Estévez,240992
Adrián Bernabé,252794
Wylan Cyprien,212886
Francesco Zampano,219655
Christian Gytkjær,201285
Giorgio Altare,263647
Nicholas Pierini,241628
Alessandro Gabrielloni,268674
Souleymane Isaak Touré,258972
Alieu Njie,70480
Emerson Royal,247204
Magnus Kofod Andersen,237840
Drissa Camara,264364
Jordi Mboula,239441
Giuseppe Caso,258788
Davide Biraschi,213938
Mateo Retegui,241850
Albert Guðmundsson,238004
Morten Thorsby,222475
Marcus Thuram,228093
Pontus Almqvist,236706
Ylber Ramadani,243787
Hassane Kamara,220421
Oier Zarraga,258615
Lorenzo Lucca,268474
Tijjani Reijnders,240638
Ruben Loftus-Cheek,213666
Christian Pulišić,227796
Gaetano Oristanio,269276
Jakub Jankto,226592
Leonardo Pavoletti,205850
Nahitan Nández,230965
Nicolò Fagioli,260823
Riccardo Saponara,201046
Josip Brekalo,234711
Nico González,240690
Nicolas Haas,225117
Luis Muriel,199110
Konstantinos Manolas,240050
Rúben Vinagre,235172
Alex Jimenez,278928
Assane Diao,275324
Luca Koleosho,266041
Edward Nketiah,236988
Ola Aina,224656
Lucas Paquetá,233927
João Pedro,252042
Pelly Ruddock Mpanzu,207956
Mahmoud Dahoud,218339
Marvelous Nakamba,222994
Carlton Morris,213152
Issa Kaboré,253052
Simon Adingra,260779
Jacob Brown,236650
Sandro Tonali,241096
Moussa Diaby,241852
William Osula,270519
John Egan,204936
Anel Ahmedhodžić,236524
Oliver Norwood,186143
Ben Osborn,210985
Micky van de Ven,264453
Heung-min Son,200104
Diogo Jota,224458
Nicolas Jackson,259197
Axel Disasi,229942
Dominik Szoboszlai,236772
Matheus Cunha,240243
João Gomes,273463
Bruno Fernandes,212198
Pedro Neto,238616
Hee-Chan Hwang,226380
Max Kilman,245336
Kieffer Moore,216627
Gabriel Jesus,230666
Álex Moreno,217036
Andreas Pereira,208450
Pau Torres,241464
Vinícius Souza,262929
Jack Robinson,199027
David Brooks,220196
Zanka,183491
Nélson Semedo,227928
João Palhinha,229391
Anis Ben Slimane,255210
Matheus Nunes,253124
Manuel Benson,222724
Fábio Silva,252037
Jesurun Rak-Sakyi,264035
Bernardo Silva,218667
Rayan Aït Nouri,242641
Mark O'Mahony,272862
Toti Gomes,258607
André Gomes,211575
Benie Traore,260651
Mykhaylo Mudryk,246340
Casemiro,200145
Gustavo Hamer,234741
Ben White,231936
Vitinho,244661
Jorginho,205498
Deivid Washington,277795
Gabriel Magalhães,232580
Thiago Silva,164240
Ameen Al-Dakhil,263573
Malo Gusto,259307
Max Aarons,240060
Rúben Dias,239818
Fabio Carvalho,256725
Julio Enciso,255434
Pedro Porro,243576
Justin Kluivert,236920
Andrey Santos,273018
Oliver McBurnie,220031
Gabriel Martinelli,251566
Jaidon Anthony,243669
Valentino Livramento,262118
Jóhann Guðmundsson,191076
Fábio Vieira,256958
Benicio Boaitey,271116
Ansu Fati,253004
Bobby Decordova-Reid,203502
Orel Mangala,234078
Joshua Dasilva,231445
Thomas Cannon,272651
Marc Albrighton,183130
Gustavo Scarpa,223211
Fabinho,209499
Siriki Dembélé,239350
Ben Pearson,213689
Ivan Toney,212228
Cristiano Ronaldo,20801
Rúben Neves,224293
Paul Onuachu,212382
Mateusz Klich,192955
Renan Lodi,251573
Armel Bella-Kotchap,247497
Halil Dervişoğlu,250807
João Cancelo,210514
João Moutinho,162347
Ricardo Pereira,210243
Diego Costa,179844
Gonçalo Guedes,224411
Cédric Soares,201118
Jonny Otto,210455
Daniel Podence,226766
Lucas Moura,200949
Joshua Zirkzee,250961
Jørgen Strand Larsen,238756
Rodrigo Gomes,259170
Omari Hutchinson,260145
Axel Tuanzebe,231485
Jack Taylor,233851
Jacob Greaves,248602
Will Smallbone,237916
Adam Armstrong,221841
Joe Aribo,231044
Flynn Downes,240097
Kyle Walker-Peters,227927
Samuel Amo-Ameyaw,277561
Carlos Alcaraz,256402
Guido Rodríguez,225659
Jaden Philogene-Bidace,261336
Jamie Vardy,208830
Wilfred Ndidi,226790
Lucas Bergvall,272926
Kasey McAteer,265801
James Justin,231554
Billy Gilmour,245992
Scott McTominay,237238
Abdul Fatawu Issahaku,267680
Renato Veiga,273906
Savinho,270409
Mateus Fernandes,270857
Jota Silva,269421
Carlos Forbs,277426
Yunus Konak,277705
Ali Al-Hamadi,263376
Lewis Orford,70230
Divin Mubama,271227
Braydon Manu,239397
Samuel Lino,251445
Marnon Busch,224980
Víctor Ruiz,193469
Mathias Honsak,232156
Rubén Sobrino,208622
Éder Militão,240130
Jorge Pascual,275415
Adrian Beck,253133
Manu Morlanes,241856
Roger Martí,207732
Javier Hernández,178224
Tanguy Nianzou,252961
Alex Telles,212462
César Azpilicueta,184432
Juanmi,197891
Xeber Alkain,256059
Saúl Ñíguez,208421
José Callejón,185020
Antonio Raíllo,228805
Fran Pérez,271373
Saúl Coco,265650
Manu Trigueros,206545
Antonio Blanco,261987
Sergi Guardiola,229624
Domingos Quina,235450
Adrián Embarba,219953
Iza Carcelén,220348
Dani Ceballos,222509
Juanma Herzog,278403
Fabian Schnellhardt,207887
Juan Cala,186519
Ramón Terrats,259521
Samu Aghehowa,277581
Íñigo Eguaras,223740
William Carvalho,207566
Jonathan Viera,198164
Álvaro Rodriguez,237206
Reinildo Mandava,236045
Tim Kleindienst,214096
Jon Guridi,238126
Myrto Uzuni,261204
Bebé,166074
El Bilal Touré,255529
Jon Aramburu,259848
