player,fotmobName
Daniel Olmo Carvajal,Dani Olmo
Min Jae Kim,Min-Jae Kim
Julian Chabot,Jeff Chabot
Tiago Barreiros de Melo Tomas,Tiago Tomás
Piero Martin Hincapie Reyna,Piero Hincapié
Jamie Jermaine Bynoe-Gittens,Jamie Gittens
Lucas Silva Melo,Tuta
Kouadio Emmanuel Kone,Kouadio Koné
Omar Haktab Traore,Omar Traoré
Ignacio Ferri Julia,Nacho Ferri
Xabier Alonso Olano,Xabi Alonso
Marcio Rafael Ferreira de Souza,Rafinha
Johan Danon Djourou-Gbadjere,Johan Djourou
Adelino Andre Vieira Freitas,Vieirinha
Ronaldo Aparecido Rodrigues,Naldo
Fabian Lukas Schar,Fabian Schar
Gustavo Adrian Ramos Vasquez,Adrian Ramos
Thiago Alcantara do Nascimento,Thiago Alcantara
Javier Hernandez Balcazar,Javier Hernandez
Sereso Geoffroy Gonzaroua Die,Serey Die
Frederik Hillesborg Sorensen,Frederik Sorensen
Uilson de Souza Paula Junior,Junior Caicara
Marco Jhonfai Fabian De La Mora,Marco Fabian
Cleber Janderson Pereira Reis,Cleber
Charles Mariano Aranguiz Sandoval,Charles Aranguiz
Keita Balde Diao,Keita Balde
Gervais Lombe Yao Kouassi,Gervinho
Maximiliano Nicol Moralez,Maxi Moralez
Alberto Facundo Costa,Tino Costa
Franco Damian Vazquez,Franco Vazquez
Assane Diousse El Hadji,Assane Diousse
Maximiliano Gaston Lopez,Maxi Lopez
Iago Falque Silva,Iago Falque
Jose Martin Caceres Silva,Martin Caceres
Jesus Joaquin Fernandez Saez de la Torre,Suso
Alvaro Borja Morata Martin,Alvaro Morata
Marco Antonio De Mattos Filho,Marquinho
Eder Citadin Martins,Eder
M''Baye Babacar Niang,M'Baye Niang
Jorge Luiz Frello Filho,Jorginho
Raphael Martinho Alves de Lima,Rafael Martinho
Giancarlo Gonzalez Castro,Geancarlo Gonzalez
Patricio Gabarron Gil,Patric
Jose Rodolfo Pires Ribeiro,Dodo
Ricardo Gabriel Alvarez,Ricardo Alvarez
Andre Ayew Pele,Andre Ayew
Francesc Fabregas i Soler,Cesc Fabregas
Santiago Cazorla Gonzalez,Santi Cazorla
Alexis Alejandro Sanchez Sanchez,Alexis Sanchez
Gnegneri Yaya Toure,Yaya Toure
Sergio Leonel Aguero del Castillo,Sergio Aguero
Andrew Philip King,Andy King
Mousa Sidi Yaya Dembele,Mousa Dembele
Cedric Ricardo Alves Soares,Cedric Soares
Fernando Luiz Rosa,Fernandinho
Carlos Alberto Sanchez Moreno,Carlos Sanchez
Bamidele Alli,Dele Alli
Jose Luis Sanmartin Mato,Joselu
Robert Kenedy Nunes do Nascimento,Kennedy
Ignacio Monreal Eraso,Nacho Monreal
Yann Gerard M''Vila,Yann M'Vila
Daniel William John Ings,Danny Ings
Ederzito Antonio Macedo Lopes,Eder
Ayoze Perez Gutierrez,Ayoze Perez
Sebastien Aymar Bassong Nguena,Sebastien Bassong
Paddy McNair,Patrick McNair
Jonathan Grant Evans,Jonny Evans
Juan Miguel Jimenez Lopez,Juanmi
Alexandre Dimitri Song-Billong,Alex Song
Youssouf Chafiq Mulumbu Ngangu,Youssuf Mulumbu
John Michael Nchekwube Obinna,John Obi Mikel
Rhu-endly Martina,Cuco Martina
Bradley Shaun Smith,Brad Smith
Jose Miguel da Rocha Fonte,Jose Fonte
Kolo Habib Toure,Kolo Toure
Gabriel Armando de Abreu,Gabriel Paulista
Gilbert Gianelli Imbula Wanga,Giannelli Imbula
Cheik Ismael Tiote,Cheik Tiote
Daniel Nii Tackie Mensah Welbeck,Danny Welbeck
Angel Rangel Zaragoza,Angel Rangel
Bertrand Isidore Traore,Bertrand Traore
Oluwaseyi Babajide Ojo,Sheyi Ojo
Francisco Roman Alarcon Suarez,Isco
Ignacio Cases Mora,Nacho Cases
Tiago Manuel Dias Correia,Bebe
Santiago Mina Lorenzo,Santi Mina
Alberto Mateus Contreiras Goncalves,Manucho
Alvaro Negredo Sanchez,Alvaro Negredo
Ruben Gracia Calmache,Cani
Lucas Perez Martinez,Lucas Perez
Armindo Tue Na Bangna,Bruma
Juan Francisco Moreno Fuertes,Juanfran
Salvador Sevilla Lopez,Salva Sevilla
Javier Lopez Rodriguez,Javi Lopez
Angel Martin Correa,Angel Correa
Jorge Resurreccion Merodio,Koke
Juan Francisco Garcia Garcia,Juanfran Garcia
Ivan Lopez Mendoza,Ivan Lopez
Jonathan Castro Otto,Jonny
Fabian Ariel Orellana Valenzuela,Fabian Orellana
Manuel Agudo Duran,Nolito
Jose Antonio Garcia Rabasco,Verza
Ruben Garcia Santos,Ruben Garcia
Francisco Medina Luna,Piti
Ruben Rochina Naixes,Ruben Rochina
Ever Maximiliano David Banega,Ever Banega
Victor Machin Perez,Vitolo
Sergio Paulo Barbosa Valente,Duda
Juan Pablo Anor Acosta,Juanpi
Luis Alberto Suarez Diaz,Luis Suarez
Jonathan Rodriguez Menendez,Jony
Jose Maria Martin-Bejarano Serrano,Jose Mari
Ruben Salvador Perez Del Marmol,Ruben Perez
Wanderson Maciel Sousa Campos,Wamberto
Jose Ignacio Martinez Garcia,Nacho Martinez
Jose Luis Gaya Pena,Jose Gaya
Luis Carlos Correia Pinto,Luisinho
Francisco Alcacer Garcia,Paco Alcacer
Juan Carlos Perez Lopez,Juankar
Rafael Alcantara do Nascimento,Rafinha
Jose Luis Garcia del Pozo,Jose Recio
Jorge Andujar Moreno,Coke
Juan Francisco Torres Belen,Juanfran
Gabriel Fernandez Arenas,Gabi
