id,foot
308054,RightFoot
958167,RightFoot
1137431,RightFoot
122848,LeftFoot
802142,LeftFoot
928122,LeftFoot
1086223,RightFoot
895868,RightFoot
925242,RightFoot
812145,LeftFoot
909991,RightFoot
795297,RightFoot
893549,RightFoot
788027,LeftFoot
865523,RightFoot
125407,RightFoot
798147,RightFoot
920744,LeftFoot
930191,LeftFoot
100565,LeftFoot
965008,RightFoot
287573,RightFoot
541578,RightFoot
849274,LeftFoot
970928,RightFoot
850891,RightFoot
1116577,RightFoot
148824,LeftFoot
898815,RightFoot
1067204,RightFoot
944327,RightFoot
41157,BothFeet
865651,BothFeet
812829,RightFoot
1096210,RightFoot
889259,BothFeet
108484,LeftFoot
45925,RightFoot
132704,RightFoot
798820,LeftFoot
958982,RightFoot
279563,RightFoot
1012172,LeftFoot
555540,BothFeet
984184,RightFoot
1000150,LeftFoot
829581,RightFoot
877013,RightFoot
78939,RightFoot
235656,RightFoot
933203,LeftFoot
872272,RightFoot
1397168,LeftFoot
841977,RightFoot
928800,LeftFoot
839156,RightFoot
914501,RightFoot
857772,RightFoot
195850,LeftFoot
39482,RightFoot
877201,RightFoot
832208,LeftFoot
855810,RightFoot
1100836,RightFoot
377302,LeftFoot
280991,RightFoot
826198,RightFoot
1121578,LeftFoot
1121333,LeftFoot
812946,RightFoot
933641,RightFoot
1017649,LeftFoot
962364,RightFoot
158615,RightFoot
884980,RightFoot
852404,RightFoot
609206,RightFoot
895592,RightFoot
864898,LeftFoot
233826,RightFoot
930189,RightFoot
1000015,RightFoot
984014,RightFoot
905264,LeftFoot
814589,LeftFoot
1012179,RightFoot
255389,RightFoot
341143,RightFoot
187121,RightFoot
147368,LeftFoot
795044,RightFoot
596736,LeftFoot
383314,RightFoot
220223,RightFoot
229740,LeftFoot
957937,RightFoot
901850,RightFoot
189135,RightFoot
1141754,RightFoot
862464,RightFoot
876259,RightFoot
137155,RightFoot
21927,BothFeet
82943,RightFoot
355486,RightFoot
21608,LeftFoot
352736,LeftFoot
372430,RightFoot
842709,LeftFoot
1014651,RightFoot
610766,RightFoot
986352,RightFoot
962029,RightFoot
317301,RightFoot
1000366,RightFoot
76132,RightFoot
1389689,RightFoot
901891,RightFoot
1155571,RightFoot
996919,LeftFoot
186845,RightFoot
1009268,LeftFoot
965009,LeftFoot
309156,RightFoot
824200,RightFoot
605374,RightFoot
928104,RightFoot
902019,RightFoot
759520,RightFoot
812533,RightFoot
156019,RightFoot
1169409,RightFoot
587628,RightFoot
994197,LeftFoot
1004505,LeftFoot
839226,RightFoot
886243,RightFoot
974863,RightFoot
333261,RightFoot
1613917,RightFoot
1155432,RightFoot
1394202,RightFoot
152769,RightFoot
35428,BothFeet
98212,LeftFoot
1101992,RightFoot
1012383,RightFoot
123976,RightFoot
47743,RightFoot
357584,LeftFoot
888340,RightFoot
1426235,LeftFoot
246319,RightFoot
907667,RightFoot
377118,LeftFoot
789958,RightFoot
920391,RightFoot
249929,RightFoot
19352,RightFoot
