fifa,version,date
26,260001,07/08/25
26,260002,10/09/25
26,260003,16/09/25
26,260004,19/09/25
26,260005,03/10/25
26,260006,08/10/25
26,260007,23/10/25
26,260008,05/11/25
26,260009,12/11/25
26,260010,20/11/25
26,260011,02/12/25
26,260012,03/12/25
26,260013,17/12/25
26,260014,07/01/26
26,260015,07/01/26
26,260016,14/01/26
26,260017,21/01/26
26,260018,22/01/26
26,260019,27/01/26
26,260020,04/02/26
26,260021,05/02/26
26,260022,18/02/26
26,260023,05/03/26
26,260024,10/03/26
26,260025,18/03/26
26,260026,24/03/26
26,260027,01/04/26
26,260028,07/04/26
26,260029,08/04/26
26,260030,08/04/26
26,260031,09/04/26
26,260032,28/04/26
26,260032,12/05/26
25,250001,07/08/24
25,250002,20/09/24
25,250003,26/09/24
25,250004,02/10/24
25,250005,08/10/24
25,250006,17/10/24
25,250007,22/10/24
25,250008,05/11/24
25,250009,06/11/24
25,250010,20/11/24
25,250011,21/11/24
25,250012,27/11/24
25,250013,05/12/24
25,250014,11/12/24
25,250015,18/12/24
25,250016,09/01/25
25,250017,16/01/25
25,250018,23/01/25
25,250019,04/02/25
25,250020,05/02/25
25,250021,14/02/25
25,250022,19/02/25
25,250023,24/02/25
25,250024,05/03/25
25,250025,12/03/25
25,250026,12/03/25
25,250027,18/03/25
25,250028,20/03/25
25,250029,25/03/25
25,250030,01/04/25
25,250031,08/04/25
25,250032,16/04/25
25,250033,22/04/25
25,250034,01/05/25
25,250035,07/05/25
25,250036,21/05/25
25,250037,03/06/25
25,250038,03/06/25
25,250039,19/06/25
25,250040,24/06/25
25,250041,04/07/25
25,250042,09/07/25
25,250043,17/07/25
25,250044,17/07/25
24,240001,11/08/23
24,240002,22/09/23
24,240003,26/09/23
24,240004,04/10/23
24,240005,05/10/23
24,240006,10/10/23
24,240007,12/10/23
24,240008,16/10/23
24,240009,23/10/23
24,240010,26/10/23
24,240011,30/10/23
24,240012,01/11/23
24,240013,09/11/23
24,240014,15/11/23
24,240015,20/11/23
24,240016,24/11/23
24,240017,06/12/23
24,240018,11/12/23
24,240019,18/12/23
24,240020,17/01/24
24,240021,17/01/24
24,240022,30/01/24
24,240023,31/01/24
24,240024,01/02/24
24,240025,08/02/24
24,240026,15/02/24
24,240027,15/02/24
24,240028,22/02/24
24,240029,05/03/24
24,240030,06/03/24
24,240031,07/03/24
24,240032,14/03/24
24,240033,20/03/24
24,240034,27/03/24
24,240035,09/04/24
24,240036,09/04/24
24,240037,23/04/24
24,240038,23/04/24
24,240039,07/05/24
24,240040,08/05/24
24,240041,22/05/24
24,240042,11/06/24
24,240043,12/06/24
24,240044,26/06/24
24,240045,26/06/24
24,240046,04/07/24
24,240047,08/07/24
24,240048,24/07/24
24,240049,20/04/24
24,240050,04/09/24
23,230001,01/09/22
23,230002,26/09/22
23,230003,28/09/22
23,230004,07/10/22
23,230005,28/10/22
23,230006,16/11/22
23,230007,06/12/22
23,230008,17/12/22
23,230009,13/01/23
23,230010,18/01/23
23,230011,25/01/23
23,230012,30/01/23
23,230013,07/02/23
23,230014,13/02/23
23,230015,22/02/23
23,230016,23/02/23
23,230017,28/02/23
23,230018,03/03/23
23,230019,07/03/23
23,230020,24/03/23
23,230021,24/03/23
23,230023,30/03/23
23,230024,05/04/23
